county,pop_without_access,percent_total_pop,pop_density,per_capita_income,urban_pop_without_access,percent_urban_pop,urban_pop_density,rural_pop_without_access,percent_rural_pop,rural_pop_density
Falls County,"10,919",71%,20.162,"$16,749 ","5,499",100%,"1,440.96","5,420",55%,13.044
Fannin County,"19,753",61%,36.606,"$20,784 ",12,0%,"1,862.07","19,741",86%,25.868
Fayette County,"4,227",19%,23.778,"$28,403 ","1,824",24%,"1,412.16","2,403",16%,15.977
Fisher County,"2,840",100%,3.168,"$25,235 ",.,.,.,"2,840",100%,3.168
Floyd County,"2,228",48%,4.683,"$22,375 ",40,2%,"1,406.81","2,188",95%,2.334
Foard County,34,4%,1.143,"$21,105 ",.,.,.,34,4%,1.143
Fort Bend County,"51,377",7%,804.617,"$35,024 ","27,615",4%,"2,909.43","23,762",65%,57.507
Franklin County,"5,972",57%,37.012,"$28,058 ",119,4%,917.689,"5,853",81%,25.706
Freestone County,"10,399",56%,21.21,"$23,008 ","2,850",49%,751.775,"7,549",59%,14.67
Frio County,91,1%,14.275,"$15,732 ",.,.,"2,079.99",91,3%,3.086
Gaines County,"6,624",37%,11.952,"$21,690 ",78,1%,"2,176.99","6,546",58%,7.567
Galveston County,"18,735",6%,799.161,"$31,030 ","13,193",5%,"2,007.61","5,542",31%,75.814
Garza County,411,7%,6.644,"$17,389 ",5,0%,"2,618.33",406,37%,1.242
Gillespie County,"8,656",34%,24.319,"$30,757 ",.,.,"1,560.55","8,656",62%,13.258
Glasscock County,726,88%,0.918,"$39,169 ",.,.,.,726,88%,0.918
Goliad County,405,6%,8.074,"$30,556 ",.,.,.,405,6%,8.074
Gonzales County,13,0%,17.132,"$20,794 ",.,.,"1,745.95",13,0%,11.12
Gray County,"3,940",18%,24.283,"$22,285 ",100,1%,"1,671.45","3,840",95%,4.426
Grayson County,"25,244",21%,127.196,"$24,614 ","2,575",4%,"1,649.22","22,669",44%,57.842
Gregg County,"8,785",7%,453.245,"$24,137 ","1,309",1%,"1,219.83","7,476",45%,90.249
Grimes County,"20,520",79%,32.964,"$20,858 ","7,070",90%,966.196,"13,450",74%,23.204
Guadalupe County,.,.,212.855,"$26,696 ",.,.,"1,959.50",.,.,57.761
Hale County,"6,762",20%,34.015,"$18,061 ","2,541",9%,"1,817.11","4,221",61%,6.971
Hall County,626,26%,2.709,"$18,314 ",.,.,.,626,26%,2.709
Hamilton County,"7,215",94%,9.222,"$23,734 ","2,723",100%,"1,196.41","4,492",90%,5.981
Hansford County,"1,979",37%,5.893,"$23,631 ",.,.,"2,192.11","1,979",96%,2.247
Hardeman County,"2,563",93%,3.961,"$20,373 ",.,.,.,"2,563",93%,3.961
Hardin County,"15,024",27%,63.597,"$25,326 ",706,3%,"1,115.64","14,318",50%,33.224
Harris County,"421,540",9%,"2,628.93","$28,454 ","410,649",9%,"3,638.19","10,891",20%,110.867
Harrison County,"16,318",25%,71.273,"$23,452 ",.,.,"1,003.64","16,318",45%,41.495
Hartley County,"3,250",56%,3.96,"$23,563 ",192,8%,"2,531.76","3,058",93%,2.258
Haskell County,182,4%,4.834,"$23,421 ",.,.,"1,275.83",182,10%,2.098
Hays County,"5,762",3%,272.568,"$27,080 ",.,.,"2,002.32","5,762",10%,93.256
Hemphill County,"3,535",100%,3.901,"$29,473 ","2,712",100%,"1,818.09",823,100%,0.91
Henderson County,"52,990",70%,86.645,"$21,857 ","15,691",52%,"1,096.31","37,299",82%,53.74
Hidalgo County,"101,788",12%,561.317,"$14,525 ","75,287",9%,"2,311.32","26,501",58%,37.611
Hill County,7,0%,33.808,"$21,041 ",.,.,"1,199.31",7,0%,25.794
Hockley County,"4,560",22%,22.763,"$22,630 ",207,2%,"2,078.92","4,353",59%,8.152
Hood County,"1,125",2%,130.848,"$29,659 ",.,.,985.454,"1,125",6%,47.011
Hopkins County,"18,273",53%,45.211,"$21,674 ",311,2%,"1,363.68","17,962",86%,27.504
Houston County,"7,467",33%,18.186,"$17,830 ",175,3%,"1,016.85","7,292",44%,13.549
Howard County,"4,169",12%,37.666,"$21,080 ",325,1%,"1,885.04","3,844",62%,6.964
Hudspeth County,"2,210",73%,0.666,"$13,660 ",.,.,.,"2,210",73%,0.666
Hunt County,"39,393",47%,98.766,"$22,446 ","5,974",17%,"1,382.41","33,419",70%,58.327
Hutchinson County,"1,247",6%,22.763,"$24,231 ",116,1%,"1,058.36","1,131",28%,4.62
Irion County,"1,021",100%,0.971,"$30,444 ",.,.,.,"1,021",100%,0.971
Jack County,"6,633",85%,8.545,"$23,126 ","3,597",100%,"1,645.05","3,036",73%,4.607
Jackson County,"9,289",72%,15.655,"$23,368 ","3,481",70%,"1,472.18","5,808",72%,9.716
Jasper County,"33,539",99%,36.135,"$19,969 ","6,939",100%,781.267,"26,600",99%,29.018
Jeff Davis County,"2,097",100%,0.927,"$28,902 ",.,.,.,"2,097",100%,0.927
Jefferson County,"23,397",9%,281.073,"$23,563 ","11,918",5%,"1,700.05","11,479",55%,27.937
Jim Hogg County,"4,598",100%,4.047,"$19,746 ","3,802",100%,"2,268.27",796,100%,0.702
Jim Wells County,"1,908",5%,46.741,"$20,977 ",.,.,"1,980.54","1,908",12%,19.069
Johnson County,.,.,221.122,"$24,787 ",.,.,"1,487.09",.,.,91.331
Jones County,"17,973",98%,19.659,"$15,309 ","2,450",100%,"1,335.05","15,523",98%,17.054
Karnes County,3,0%,18.011,"$22,966 ",.,.,"1,448.52",3,0%,6.712
Kaufman County,"14,320",12%,148.614,"$24,959 ","1,512",2%,"1,725.34","12,808",23%,73.326
Kendall County,"11,289",30%,57.127,"$36,169 ","4,611",29%,"1,577.62","6,678",31%,33.453
Kenedy County,323,100%,0.222,"$13,959 ",.,.,.,323,100%,0.222
Kent County,557,100%,0.617,"$25,222 ",.,.,.,557,100%,0.617
Kerr County,"13,872",27%,46.591,"$26,108 ","3,704",12%,"1,682.59","10,168",48%,19.461
Kimble County,"3,528",92%,3.058,"$27,544 ","1,938",90%,907.336,"1,590",95%,1.337
King County,187,92%,0.223,"$30,871 ",.,.,.,187,92%,0.223
Kinney County,"3,113",100%,2.289,"$15,689 ","2,453",100%,893.074,660,100%,0.486
Kleberg County,109,0%,36.055,"$19,230 ",.,.,"2,651.70",109,2%,7
Knox County,32,1%,2.953,"$19,470 ",.,.,.,32,1%,2.953
Lamar County,"15,122",32%,52.465,"$21,523 ",434,2%,"1,583.31","14,688",64%,25.708
Lamb County,"5,208",47%,10.815,"$19,555 ",2,0%,"2,004.05","5,206",87%,5.889
Lampasas County,"15,611",80%,27.472,"$24,134 ","5,224",87%,"1,825.80","10,387",76%,19.182
La Salle County,"1,706",29%,3.986,"$17,184 ",.,.,"1,770.43","1,706",68%,1.691
Lavaca County,"2,610",15%,17.927,"$25,196 ",.,.,"1,770.40","2,610",19%,14.573
Lee County,"8,548",55%,24.659,"$24,604 ","1,287",28%,"1,583.22","7,261",66%,17.457
Leon County,"6,498",40%,15.207,"$25,946 ",.,.,.,"6,498",40%,15.207
Liberty County,"55,072",74%,64.103,"$20,370 ","15,902",59%,"1,189.28","39,170",83%,41.499
Limestone County,"20,031",95%,23.176,"$20,550 ","10,104",100%,"1,575.59","9,927",91%,12.101
Lipscomb County,"1,115",39%,3.086,"$29,596 ",.,.,.,"1,115",39%,3.086
Live Oak County,48,0%,9.871,"$21,357 ",.,.,.,48,0%,9.871
Llano County,"18,186",100%,19.47,"$34,348 ","10,317",100%,818.968,"7,869",100%,8.54
Loving County,44,100%,0.066,"$25,629 ",.,.,.,44,100%,0.066
Lubbock County,"33,633",12%,320.732,"$24,454 ","15,497",6%,"2,541.96","18,136",59%,38.625
Lynn County,"1,748",40%,4.919,"$22,767 ",408,19%,"1,458.40","1,340",58%,2.576
McCulloch County,"6,538",93%,6.592,"$21,654 ","4,075",90%,"1,578.72","2,463",98%,2.356
McLennan County,"2,056",1%,230.557,"$21,852 ",.,.,"1,959.55","2,056",4%,58.689
McMullen County,25,5%,0.424,"$36,277 ",.,.,.,25,5%,0.424
Madison County,"11,806",86%,29.575,"$15,222 ","4,484",100%,"1,130.89","7,322",79%,20.126
Marion County,"6,886",78%,23.215,"$22,610 ",.,.,.,"6,886",78%,23.215
Martin County,"1,392",32%,4.81,"$26,286 ",.,.,.,"1,392",32%,4.81
Mason County,"1,850",52%,3.805,"$27,512 ",.,.,.,"1,850",52%,3.805
Matagorda County,"24,506",73%,30.465,"$22,072 ","13,924",64%,"1,925.82","10,582",91%,10.648
Maverick County,"1,473",3%,45.463,"$14,516 ",.,.,"2,652.60","1,473",28%,4.178
Medina County,"31,630",67%,35.495,"$22,848 ","11,696",64%,"1,397.71","19,934",69%,21.986
Menard County,"1,695",100%,1.879,"$20,055 ",.,.,.,"1,695",100%,1.879
Midland County,"10,623",7%,165.524,"$34,885 ","3,207",2%,"2,417.76","7,416",41%,21.269
Milam County,"17,275",77%,21.926,"$21,465 ","6,535",67%,"1,559.65","10,740",86%,12.365
Mills County,"3,802",93%,5.454,"$22,615 ",.,.,.,"3,802",93%,5.454
Mitchell County,"7,365",93%,8.654,"$17,330 ","5,574",100%,"2,112.43","1,791",77%,2.544
Montague County,"13,453",74%,19.55,"$26,109 ","4,683",65%,"1,187.33","8,770",80%,11.891
Montgomery County,"83,908",16%,510.569,"$33,455 ","44,018",11%,"1,685.15","39,890",34%,148.524
Moore County,"4,263",19%,24.712,"$19,434 ","3,698",20%,"2,880.73",565,17%,3.808
Morris County,"4,211",36%,46.594,"$20,124 ",55,2%,796.25,"4,156",44%,37.614
Motley County,807,99%,0.828,"$20,712 ",.,.,.,807,99%,0.828
Nacogdoches County,"17,111",26%,69.334,"$20,299 ","1,378",4%,"1,467.92","15,733",52%,32.561
Navarro County,"35,372",78%,44.688,"$20,491 ","21,488",100%,"1,702.18","13,884",59%,23.677
Newton County,"8,632",67%,13.807,"$20,509 ",.,.,.,"8,632",67%,13.807
Nolan County,"2,968",22%,14.972,"$20,097 ",4,0%,"1,965.87","2,964",74%,4.394
Nueces County,165,0%,418.88,"$24,875 ",.,.,"2,787.43",165,1%,30.262
Ochiltree County,826,8%,11.307,"$23,989 ",.,.,"2,147.55",826,68%,1.339
Oldham County,"1,385",89%,1.041,"$23,377 ",.,.,.,"1,385",89%,1.041
Orange County,"14,340",18%,240.937,"$24,938 ","1,219",2%,"1,001.98","13,121",45%,103.487
Palo Pinto County,"2,888",11%,27.546,"$23,503 ",.,.,"1,712.30","2,888",22%,13.779
Panola County,"11,248",49%,28.671,"$25,326 ",6,0%,902.696,"11,242",67%,21.025
Parker County,6,0%,143.172,"$30,934 ",.,.,"1,196.96",6,0%,83.948
Parmer County,"2,956",33%,10.057,"$20,169 ",378,9%,"3,075.03","2,578",55%,5.331
Pecos County,"6,016",41%,3.103,"$19,974 ","1,264",14%,"1,474.99","4,752",79%,1.268
Polk County,"41,060",97%,40.179,"$20,225 ","8,917",95%,801.063,"32,143",97%,31.614
Potter County,"14,017",12%,133.996,"$19,967 ","8,829",8%,"2,144.31","5,188",49%,12.296
Presidio County,"6,815",100%,1.768,"$16,176 ","4,314",100%,"1,997.66","2,501",100%,0.649
Rains County,"10,418",95%,47.57,"$22,933 ",718,100%,"1,440.15","9,700",95%,44.537
Randall County,"9,232",7%,139.239,"$30,376 ","2,173",2%,"2,734.19","7,059",39%,20.898
Reagan County,"3,099",96%,2.747,"$23,814 ","2,805",96%,"2,757.25",294,100%,0.25
Real County,"2,975",98%,4.322,"$19,806 ",.,.,.,"2,975",98%,4.322
Red River County,"2,391",22%,10.318,"$19,128 ",12,1%,835.282,"2,379",28%,8.085
Reeves County,"1,194",10%,4.68,"$18,099 ",108,1%,"1,634.18","1,086",60%,0.694
Refugio County,715,11%,8.208,"$24,090 ",.,.,"1,727.70",715,19%,4.955
Roberts County,307,38%,0.883,"$35,797 ",.,.,.,307,38%,0.883
Robertson County,"10,060",68%,17.164,"$21,216 ","3,578",100%,"1,401.46","6,482",58%,13.014
Rockwall County,.,.,739.423,"$34,850 ",.,.,"2,070.72",.,.,168.149
Runnels County,"8,469",100%,8.058,"$20,081 ","5,342",100%,"1,650.14","3,127",100%,2.985
Rusk County,"30,526",57%,57.459,"$22,084 ","2,273",12%,"1,692.40","28,253",81%,37.991
Sabine County,"2,865",29%,19.994,"$18,626 ",.,.,.,"2,865",29%,19.994
San Augustine County,"6,327",81%,14.701,"$18,177 ",.,.,.,"6,327",81%,14.701
San Jacinto County,"22,354",85%,46.082,"$24,037 ",.,.,.,"22,354",85%,46.082
San Patricio County,.,.,90.635,"$23,741 ",.,.,"1,722.83",.,.,18.226
San Saba County,"3,329",67%,4.409,"$19,595 ","1,097",44%,"1,517.27","2,232",89%,2.225
Schleicher County,"3,171",100%,2.419,"$23,074 ",.,.,.,"3,171",100%,2.419
Scurry County,"3,690",23%,17.691,"$23,967 ",533,5%,"1,643.52","3,157",67%,5.268
Shackelford County,"2,269",90%,2.749,"$25,602 ",.,.,.,"2,269",90%,2.749
Shelby County,"19,993",81%,30.838,"$21,084 ","4,183",85%,847.47,"15,810",81%,24.83
Sherman County,"2,248",91%,2.684,"$23,728 ",.,.,.,"2,248",91%,2.684
Smith County,"53,388",24%,242.946,"$24,924 ","13,186",9%,"1,451.08","40,202",57%,86.15
Somervell County,64,1%,47.623,"$26,708 ",.,.,.,64,1%,47.623
Starr County,"6,218",10%,52.003,"$11,935 ","1,128",2%,"1,819.70","5,090",35%,12.25
Stephens County,"7,914",87%,10.105,"$21,145 ","4,624",83%,"1,481.92","3,290",94%,3.937
Sterling County,813,100%,0.88,"$19,762 ",.,.,.,813,100%,0.88
Stonewall County,196,19%,1.132,"$23,895 ",.,.,.,196,19%,1.132
Sutton County,"3,663",95%,2.66,"$24,723 ","3,010",94%,"1,654.69",653,99%,0.455
Swisher County,"2,395",36%,7.447,"$18,046 ",464,10%,"1,751.05","1,931",87%,2.486
Tarrant County,.,.,"2,298.89","$28,541 ",.,.,"2,951.58",.,.,127.619
Taylor County,"16,060",12%,142.411,"$23,472 ","4,555",4%,"2,002.69","11,505",55%,24.132
Terrell County,788,100%,0.334,"$31,894 ",.,.,.,788,100%,0.334
Terry County,983,8%,13.108,"$22,211 ",24,0%,"2,035.28",959,39%,2.794
Throckmorton County,520,40%,1.423,"$24,926 ",.,.,.,520,40%,1.423
Titus County,"14,981",44%,84.316,"$19,178 ",765,5%,"1,202.53","14,216",80%,45.158
Tom Green County,"14,904",13%,72.603,"$24,443 ","5,035",5%,"2,006.23","9,869",59%,11.426
Travis County,"1,256",0%,"1,169.06","$33,943 ",.,.,"3,021.87","1,256",2%,100.201
Trinity County,"3,521",26%,19.732,"$19,874 ",561,18%,725.826,"2,960",28%,15.416
Tyler County,"19,701",93%,22.866,"$20,675 ","4,709",100%,926.246,"14,992",91%,17.871
Upshur County,"33,781",87%,66.315,"$22,917 ","5,807",75%,"1,045.84","27,974",90%,53.774
Upton County,"2,486",100%,2.003,"$23,383 ",.,.,.,"2,486",100%,2.003
Uvalde County,"4,488",18%,16.224,"$17,654 ",.,.,"1,666.54","4,488",58%,5.048
Val Verde County,940,2%,15.622,"$19,024 ",.,.,"2,291.95",940,20%,1.486
Van Zandt County,"48,430",94%,61.19,"$22,707 ","9,647",78%,983.662,"38,783",99%,47.141
Victoria County,602,1%,98.688,"$25,216 ",.,.,"2,213.81",602,3%,26.732
Walker County,"33,310",49%,87.531,"$16,571 ","9,683",26%,"2,236.69","23,627",77%,40.058
Waller County,"42,185",96%,85.655,"$22,645 ","15,274",94%,"1,392.12","26,911",97%,55.354
Ward County,"8,904",90%,11.886,"$23,887 ","6,634",89%,"1,198.39","2,270",93%,2.955
Washington County,"29,103",87%,55.471,"$23,727 ","11,836",76%,"1,883.88","17,267",97%,29.949
Webb County,"5,289",2%,82.808,"$14,852 ","1,982",1%,"3,885.54","3,307",70%,1.435
Wharton County,"31,417",82%,35.325,"$20,782 ","14,028",73%,"1,729.72","17,389",91%,17.752
Wheeler County,"2,704",67%,4.444,"$27,816 ",.,.,.,"2,704",67%,4.444
Wichita County,"11,271",9%,203.15,"$23,006 ","2,722",2%,"1,917.47","8,549",63%,23.691
Wilbarger County,"10,474",89%,12.17,"$20,370 ","8,498",90%,"1,712.41","1,976",84%,2.432
Willacy County,"3,364",15%,37.683,"$11,693 ",.,.,"2,465.60","3,364",44%,13.124
Williamson County,"30,299",6%,446.147,"$31,709 ","3,955",1%,"3,046.85","26,344",46%,58.792
Wilson County,12,0%,58.473,"$28,411 ",.,.,"1,717.67",12,0%,50.706
Winkler County,"5,599",86%,7.762,"$22,885 ","4,751",87%,"1,695.00",848,80%,1.263
Wise County,"17,254",29%,66.474,"$27,087 ","5,891",35%,"1,218.45","11,363",26%,48.348
Wood County,"28,840",68%,65.443,"$23,658 ","1,433",14%,877.041,"27,407",86%,50.138
Yoakum County,"2,205",29%,9.46,"$23,103 ",11,0%,"1,886.83","2,194",82%,3.365
Young County,"6,206",35%,19.191,"$25,859 ","2,835",24%,"1,779.70","3,371",58%,6.371
Zapata County,"1,084",7%,14.789,"$16,026 ",.,.,"2,236.38","1,084",35%,3.132
Zavala County,"2,949",27%,8.568,"$13,595 ",.,.,"2,166.33","2,949",72%,3.175
U.S. Virgin Islands,"103,964",100%,774.333,.,"42,522",100%,679.621,"61,442",100%,857.027
St. Croix,"36,607",100%,439.702,.,"18,167",100%,516.082,"18,440",100%,383.756
St. John,"17,167",100%,872.064,.,"2,649",100%,860.516,"14,518",100%,874.209
St. Thomas,"50,190",100%,"1,603.34",.,"21,706",100%,893.736,"28,484",100%,"4,062.99"
Utah,"180,004",6%,36.306,.,"77,530",3%,"2,973.07","102,474",39%,3.246
Beaver County,"2,434",40%,2.321,"$20,405 ","1,890",70%,"1,307.11",544,16%,1.28
Box Elder County,"8,531",17%,8.95,"$22,150 ",502,1%,"1,807.02","8,029",53%,2.669
Cache County,"9,693",8%,102.757,"$20,195 ","3,772",4%,"2,323.27","5,921",34%,15.731
Carbon County,"1,106",5%,14.216,"$20,691 ",.,.,"1,481.76","1,106",16%,4.716
Daggett County,898,100%,1.288,"$24,369 ",.,.,.,898,100%,1.288
Davis County,"10,603",3%,"1,122.93","$26,309 ","9,887",3%,"2,999.72",716,24%,16.196
Duchesne County,"13,891",71%,6.009,"$24,162 ","2,287",36%,"2,068.09","11,604",89%,4.043
Emery County,383,4%,2.356,"$20,274 ",.,.,"1,081.08",383,5%,1.721
Garfield County,88,2%,0.951,"$20,975 ",.,.,.,88,2%,0.951
Grand County,614,7%,2.436,"$23,894 ",8,0%,"1,579.75",606,28%,0.596
Iron County,723,1%,15.615,"$17,946 ",354,1%,"2,218.36",369,4%,3.144
Juab County,"4,107",37%,3.285,"$18,503 ",698,11%,"1,630.26","3,409",70%,1.43
Kane County,799,11%,1.784,"$24,152 ",.,.,"1,369.97",799,21%,0.958
Millard County,"4,882",44%,1.702,"$20,310 ",128,4%,"1,581.20","4,754",58%,1.241
Morgan County,"8,880",84%,17.347,"$28,193 ","3,897",100%,"1,620.97","4,983",75%,10.994
Piute County,.,.,1.927,"$16,780 ",.,.,.,.,.,1.927
Rich County,"1,230",55%,2.179,"$23,018 ",.,.,.,"1,230",55%,2.179
Salt Lake County,"18,983",2%,"1,448.50","$26,747 ","16,527",2%,"3,849.04","2,456",25%,21.066
San Juan County,"14,036",97%,1.848,"$15,531 ","3,339",100%,"1,999.30","10,697",96%,1.422
Sanpete County,"6,773",24%,17.891,"$17,519 ",254,1%,"2,101.90","6,519",58%,7.106
Sevier County,"9,065",44%,10.851,"$19,121 ","3,948",53%,"2,830.81","5,117",39%,6.951
Summit County,"4,515",12%,19.621,"$45,461 ","2,759",12%,"1,275.65","1,756",13%,7.355
Tooele County,"4,945",8%,9.287,"$22,423 ","1,175",2%,"2,532.71","3,770",34%,1.584
Uintah County,"19,372",54%,7.988,"$24,572 ","8,760",45%,"1,137.36","10,612",65%,3.657
Utah County,"9,354",2%,301.12,"$20,973 ","2,548",0%,"3,259.15","6,806",36%,10.401
Wasatch County,"5,375",21%,22.008,"$26,145 ","2,143",11%,"1,504.13","3,232",49%,5.636
Washington County,"3,214",2%,65.561,"$21,771 ","2,808",2%,"2,413.19",406,2%,9.986
Wayne County,249,10%,0.985,"$19,950 ",.,.,.,249,10%,0.985
Weber County,"15,261",6%,422.114,"$23,430 ","9,846",4%,"2,410.32","5,415",41%,27.768
Vermont,"106,615",17%,68.492,.,"5,223",2%,"1,609.90","101,392",27%,41.93
Addison County,"8,461",23%,48.426,"$29,295 ",36,0%,"1,413.10","8,425",29%,37.884
Bennington County,"3,986",11%,55.045,"$29,647 ",309,2%,"1,661.96","3,677",15%,35.731
Caledonia County,"6,872",22%,47.962,"$23,568 ",.,.,"1,508.04","6,872",30%,35.494
Chittenden County,"3,893",2%,305.316,"$33,881 ","2,506",2%,"1,743.15","1,387",3%,89.827
Essex County,"4,173",69%,9.052,"$20,904 ",.,.,.,"4,173",69%,9.052
Franklin County,"11,417",23%,77.176,"$27,879 ",250,2%,"1,899.37","11,167",32%,56.135
Grand Isle County,"2,443",35%,85.832,"$34,925 ",.,.,.,"2,443",35%,85.832
Lamoille County,"7,738",31%,54.351,"$26,508 ",.,.,.,"7,738",31%,54.351
Orange County,"14,098",50%,41.03,"$27,623 ",.,.,691.65,"14,098",51%,39.948
Orleans County,"8,417",31%,38.907,"$23,164 ",13,0%,"1,450.59","8,404",37%,33.253
Rutland County,"4,213",7%,66.351,"$26,384 ",279,1%,"1,563.23","3,934",11%,40.709
Washington County,"5,757",10%,86.938,"$30,210 ","1,084",4%,"1,336.92","4,673",15%,46.799
Windham County,"15,717",36%,55.683,"$27,895 ",124,1%,"1,983.38","15,593",53%,37.987
Windsor County,"9,430",17%,56.588,"$31,740 ",622,5%,"1,198.39","8,808",21%,42.897
Virginia,"925,477",11%,212.075,.,"186,349",3%,"2,403.69","739,128",38%,53.458
Accomack County,"26,946",91%,66.025,"$23,206 ",.,.,.,"26,946",91%,66.025
Albemarle County,"27,853",27%,142.569,"$37,510 ","7,627",13%,"2,110.00","20,226",46%,63.612
Alleghany County,"4,668",31%,33.435,"$24,399 ",.,.,"1,139.53","4,668",61%,17.357
Amelia County,"8,695",66%,37.245,"$25,545 ",.,.,.,"8,695",66%,37.245
Amherst County,"10,454",32%,69.256,"$22,938 ",776,6%,807.407,"9,678",47%,45.186
Appomattox County,"6,948",45%,45.8,"$23,098 ",.,.,.,"6,948",45%,45.8
Arlington County,"3,502",2%,"8,783.97","$62,854 ","3,502",2%,"8,783.97",.,.,.
Augusta County,"16,764",22%,79.129,"$26,398 ",347,1%,"1,051.83","16,417",33%,53.175
Bath County,"2,441",60%,7.725,"$32,259 ",.,.,.,"2,441",60%,7.725
Bedford County,"26,839",37%,95.972,"$28,548 ",351,2%,766.688,"26,488",47%,76.261
Bland County,.,.,18.456,"$19,042 ",.,.,.,.,.,18.456
Botetourt County,"8,805",26%,62.365,"$32,266 ",123,1%,878.292,"8,682",41%,40.381
Brunswick County,"11,448",76%,26.531,"$17,920 ","1,854",46%,"1,395.38","9,594",87%,19.567
Buchanan County,"1,360",6%,43.935,"$18,357 ",.,.,.,"1,360",6%,43.935
Buckingham County,"16,659",100%,28.827,"$17,345 ",.,.,.,"16,659",100%,28.827
Campbell County,"11,886",21%,112.2,"$23,801 ",86,0%,"1,156.11","11,800",35%,69.98
Caroline County,"11,565",36%,60.141,"$26,403 ",189,3%,"1,536.23","11,376",47%,46.712
Carroll County,"10,288",35%,62.525,"$19,761 ",7,1%,866.725,"10,281",36%,60.768
Charles City County,"6,959",100%,38.065,"$26,053 ",.,.,.,"6,959",100%,38.065
Charlotte County,"7,816",70%,23.515,"$18,767 ",.,.,.,"7,816",70%,23.515
Chesterfield County,"8,453",2%,820.058,"$32,942 ","7,389",2%,"1,642.67","1,064",5%,90.531
Clarke County,"4,834",34%,80.51,"$38,590 ",138,3%,"2,426.26","4,696",50%,53.948
Craig County,"2,575",53%,14.775,"$22,435 ",.,.,.,"2,575",53%,14.775
Culpeper County,191,0%,138.342,"$28,076 ",.,.,"2,742.75",191,1%,85.258
Cumberland County,"8,529",84%,34.109,"$22,922 ",.,.,"1,889.27","8,529",88%,32.741
Dickenson County,"7,648",48%,48.646,"$17,954 ",.,.,.,"7,648",48%,48.646
Dinwiddie County,"12,662",45%,56.113,"$23,766 ",723,8%,"1,095.53","11,939",61%,39.545
Essex County,"1,697",15%,44.788,"$21,595 ",.,.,999.429,"1,697",19%,34.53
Fairfax County,"21,555",2%,"2,921.71","$51,137 ","21,494",2%,"3,592.48",61,0%,191.543
Fauquier County,"12,558",19%,103.166,"$41,394 ",210,1%,"1,372.17","12,348",33%,59.4
Floyd County,"15,039",97%,40.802,"$22,805 ",.,.,.,"15,039",97%,40.802
Fluvanna County,"7,149",27%,93.362,"$30,300 ",107,1%,"1,845.05","7,042",43%,58.072
Franklin County,"14,699",25%,85.116,"$24,789 ",27,0%,862.011,"14,672",28%,76.825
Frederick County,"18,361",21%,207.332,"$30,764 ","2,453",5%,"1,755.55","15,908",43%,95.091
Giles County,"5,629",33%,48.156,"$24,485 ",376,7%,"1,083.13","5,253",46%,32.435
Gloucester County,"2,186",6%,174.995,"$29,396 ",285,2%,"1,260.53","1,901",8%,118.289
Goochland County,"8,348",35%,85.504,"$46,306 ",6,1%,854.267,"8,342",36%,83.088
Grayson County,"4,096",29%,32.431,"$18,760 ",12,67%,233.62,"4,084",29%,32.396
Greene County,"4,188",22%,124.131,"$28,727 ",96,1%,983.844,"4,092",43%,65.451
Greensville County,"8,903",76%,39.556,"$14,992 ",528,37%,865.854,"8,375",82%,34.95
Halifax County,"16,717",50%,40.722,"$19,777 ",517,7%,"1,150.74","16,200",64%,31.364
Hanover County,"20,488",20%,221.776,"$34,241 ","1,008",2%,"1,448.30","19,480",49%,93.29
Henrico County,"3,078",1%,"1,425.51","$33,576 ","2,644",1%,"2,418.43",434,3%,133.794
Henry County,"2,257",4%,136.043,"$19,538 ",351,2%,659.647,"1,906",6%,88.972
Highland County,"2,036",100%,4.904,"$26,949 ",.,.,.,"2,036",100%,4.904
Isle of Wight County,"1,927",5%,121.494,"$31,247 ",.,.,"1,159.45","1,927",9%,69.851
James City County,"2,958",4%,537.601,"$39,960 ","2,368",4%,"1,504.75",590,5%,118.418
King and Queen County,"5,371",82%,20.734,"$25,406 ",.,.,.,"5,371",82%,20.734
King George County,"2,168",8%,153.777,"$34,995 ",78,1%,813.395,"2,090",10%,118.579
King William County,"13,593",80%,62.046,"$28,981 ",76,3%,"1,488.44","13,517",95%,52.311
Lancaster County,"4,008",38%,78.349,"$30,836 ",.,.,.,"4,008",38%,78.349
Lee County,"12,068",47%,58.618,"$16,769 ",.,.,758.213,"12,068",47%,58.408
